legalone-prod2;;;;;;;
;;;28/03/2022;;;04/04/2022;
vcores_dbs;vcores_total;Size (TB);elastic_pool_name;avg_storage_percent;% variação;elastic_pool_name;avg_storage_percent
16;32;4;l1-firm-br-pool-10;75,9;3,13;l1-firm-br-pool-10;79,03
4;4;0,756;l1-firm-br-pool-10-add;75,49;1,98;l1-firm-br-pool-10-add;77,47
12;18;3;l1-firm-br-pool-11;75,76;2,26;l1-firm-br-pool-11;78,02
6;6;1,5;l1-firm-br-pool-11-add;65,44;10,27;l1-firm-br-pool-11-add;75,71
6;8;1,5;l1-firm-br-pool-12;78,41;-13,89;l1-firm-br-pool-12;64,52
4;4;0,756;;;78,79;l1-firm-br-pool-12-add;78,79
6;6;1,5;l1-firm-br-pool-13;60,89;1,53;l1-firm-br-pool-13;62,42
6;6;1,5;l1-firm-br-pool-14;51,03;13,99;l1-firm-br-pool-14;65,02
4;6;0,69;l1-firm-br-pool-15;81,58;-3,17;l1-firm-br-pool-15;78,41
10;12;2;l1-firm-br-pool-16;80,31;2,81;l1-firm-br-pool-16;83,12
;;;;;;;
;;;;;;;
;;;;;;;
legalone-prod-eastus2;;;;;;;
;;;28/03/2022;;;04/04/2022;
vcores_dbs;vcores_total;Size (TB);elastic_pool_name;avg_storage_percent;% variação;elastic_pool_name;avg_storage_percent
8;10;1,5;l1-corp-br-pool;83,2;1,64;l1-corp-br-pool;75,55
6;12;2;l1-corp-br-pool-2;65,95;0,82;l1-corp-br-pool-2;66,83
4;6;0,3;l1-firm-ar-pool;74,11;0,3;l1-firm-ar-pool;74,46
16;32;4;l1-firm-br-pool;72,8;1,36;l1-firm-br-pool;74,26
16;32;1,8;l1-firm-br-pool-10;81,46;2,14;l1-firm-br-pool-10;78,25
4;4;1,5;l1-firm-br-pool-10-add;69,89;1,34;l1-firm-br-pool-10-add;71,3
4;12;2;l1-firm-br-pool-2;83,33;1,91;l1-firm-br-pool-2;77,91
4;6;1,5;l1-firm-br-pool-2-add;49,1;0,92;l1-firm-br-pool-2-add;67,86
10;18;3;l1-firm-br-pool-3;66,99;1,49;l1-firm-br-pool-3;71,87
6;10;1,5;l1-firm-br-pool-3-add;83,5;1,46;l1-firm-br-pool-3-add;76,41
10;18;3;l1-firm-br-pool-5;65,81;1,43;l1-firm-br-pool-5;72,05
4;12;2;l1-firm-br-pool-5-add;73,53;1,42;l1-firm-br-pool-5-add;75,06
10;18;3;l1-firm-br-pool-6;67,44;1,58;l1-firm-br-pool-6;69,13
6;12;2;L1-FIRM-BR-POOL-6-ADD;75,14;1,88;L1-FIRM-BR-POOL-6-ADD;77,15
16;32;4;l1-firm-br-pool-7;72,26;2,55;l1-firm-br-pool-7;74,97
6;12;2;l1-firm-br-pool-7-add;75,52;1,75;l1-firm-br-pool-7-add;77,42
4;8;1;l1-firm-br-pool-add;66,01;1,12;l1-firm-br-pool-add;67,23
18;32;3,5;l1-firm-br-pool-big;77,23;2,08;l1-firm-br-pool-big;79,47
4;4;0,756;l1-firm-br-pool-big-17;66,36;0,87;l1-firm-br-pool-big-17;67,28
18;32;3,5;l1-firm-br-pool-big-2;78,18;1,71;l1-firm-br-pool-big-2;80,03
4;6;1,5;l1-firm-br-pool-big-2-add;55,84;0,86;l1-firm-br-pool-big-2-add;57,59
4;6;1,5;l1-firm-br-pool-big-add;62,75;1,19;l1-firm-br-pool-big-add;64,01
2;4;0,756;l1-shared-pool;46,93;0,99;l1-shared-pool;47,99
